,from,to,dist,to_cell_id_code,from_cell_id_code,nn_from
0,0,1074,12.394815033431842,spumaqlf-1075,sjlsyhzi-1,5
1,0,3065,11.81819603681805,ujjkypyl-3066,sjlsyhzi-1,5
2,0,3211,12.074006504466949,qcrlmvxh-3212,sjlsyhzi-1,5
3,0,5886,5.620413678205953,rrfojeqw-5887,sjlsyhzi-1,5
4,0,5897,13.922634884016098,muojwukm-5898,sjlsyhzi-1,5
5,1,860,15.71441803485458,enwhueqk-861,bfywgmvo-2,6
6,1,1273,6.387658743253413,vrpwscap-1274,bfywgmvo-2,6
7,1,3291,12.762275367337901,afrgnyzr-3292,bfywgmvo-2,6
8,1,3789,14.455673311061911,rquinbrh-3790,bfywgmvo-2,6
9,1,5102,12.196119996863867,zcimsjaf-5103,bfywgmvo-2,6
10,1,5240,6.846811161864861,ilhbazle-5241,bfywgmvo-2,6
11,2,63,1.6194931545579099,esxcuezw-64,tggvzndb-3,11
12,2,1378,10.84643608740711,xxvgvlum-1379,tggvzndb-3,11
13,2,1800,8.994730031730663,yzctjcxc-1801,tggvzndb-3,11
14,2,1887,5.6382127364573495,tpqzrtdi-1888,tggvzndb-3,11
15,2,1954,18.32401549529337,ddcowvtu-1955,tggvzndb-3,11
16,2,2332,3.9589293338236193,eufqmpxf-2333,tggvzndb-3,11
17,2,2988,17.986386443796086,apypuser-2989,tggvzndb-3,11
18,2,3522,8.52538298115435,cdbaiulc-3523,tggvzndb-3,11
19,2,3676,17.3699210593582,wdbraerl-3677,tggvzndb-3,11
20,2,4640,19.448667250500936,wgkqluhi-4641,tggvzndb-3,11
21,2,5935,16.55363289460381,sankyzgt-5936,tggvzndb-3,11
22,3,1103,17.69926655625581,joxqoyec-1104,cxudbnbb-4,10
23,3,1408,16.13384853973534,emjahoed-1409,cxudbnbb-4,10
24,3,1679,4.210482017946408,fxnazjbu-1680,cxudbnbb-4,10
25,3,1912,15.322531674043885,vvsaoswu-1913,cxudbnbb-4,10
26,3,1915,7.247141178246627,okwttsli-1916,cxudbnbb-4,10
