,from,to,dist,to_cell_id_code,from_cell_id_code,nn_from
0,0,1874,18.55654600551207,xhwibtld-1875,ctuqacle-1,3
1,0,2983,9.431389102956958,msikhnwm-2984,ctuqacle-1,3
2,0,4934,16.209835781455627,onujowdn-4935,ctuqacle-1,3
3,1,917,5.292136659291167,vwixnelc-918,qjhhqrho-2,16
4,1,1842,4.608967854137348,vnpikdwp-1843,qjhhqrho-2,16
5,1,2035,12.526341473076636,zvivqctj-2036,qjhhqrho-2,16
6,1,2236,14.56294024126213,fgyeeuiq-2237,qjhhqrho-2,16
7,1,2250,19.284759062006536,kveqyqlj-2251,qjhhqrho-2,16
8,1,2675,13.520606521477593,wohjwlso-2676,qjhhqrho-2,16
9,1,2766,10.703843687476617,pcggmdui-2767,qjhhqrho-2,16
10,1,3030,17.396328372452363,getzercf-3031,qjhhqrho-2,16
11,1,3492,11.190109104034573,fgmivslf-3493,qjhhqrho-2,16
12,1,3978,13.870842679732132,zdbsmpyw-3979,qjhhqrho-2,16
13,1,4122,3.5646449090605064,osfcakwx-4123,qjhhqrho-2,16
14,1,4162,9.677667258004615,jwidomhf-4163,qjhhqrho-2,16
15,1,4197,19.18803291986762,unrmmycv-4198,qjhhqrho-2,16
16,1,4203,11.27070323854413,bfkdtrug-4204,qjhhqrho-2,16
17,1,4747,11.129846077804855,artsdrvm-4748,qjhhqrho-2,16
18,1,4974,15.262249552859242,yrsijxli-4975,qjhhqrho-2,16
19,2,354,17.351363398264525,qwquhojq-355,wjdvjivf-3,5
20,2,411,16.742526880801208,xkhezsvs-412,wjdvjivf-3,5
21,2,1636,18.54785503389523,dvrxzbgu-1637,wjdvjivf-3,5
22,2,3027,16.852225477230526,kwqpvlfy-3028,wjdvjivf-3,5
23,2,6299,11.85306028924773,hsqlnpbn-6300,wjdvjivf-3,5
24,3,651,12.713611967632913,pmervoeg-652,ncczllrc-4,6
25,3,1077,11.498640790990182,qjtwczko-1078,ncczllrc-4,6
26,3,2607,19.811570142385648,lhoccyvb-2608,ncczllrc-4,6
27,3,3235,19.989433031696795,myrysafd-3236,ncczllrc-4,6
28,3,3946,14.992548766973401,gmwqvqet-3947,ncczllrc-4,6
29,3,6065,12.613293829658533,uzggnyym-6066,ncczllrc-4,6
30,4,2576,10.43422419220772,slcgpytv-2577,cbrgwbak-5,4
31,4,3020,16.728791392576063,hpdipemj-3021,cbrgwbak-5,4
32,4,3565,3.580229206394951,yetudrtw-3566,cbrgwbak-5,4
33,4,5331,10.675313190293695,xtkujifj-5332,cbrgwbak-5,4
34,5,215,1.6698541046592685,vlmljolg-216,mkgdzhih-6,5
35,5,2314,15.487152634778408,xgsjzoza-2315,mkgdzhih-6,5
36,5,3188,17.44428340987711,ntwkzodn-3189,mkgdzhih-6,5
37,5,3920,6.555045605602828,byieomlq-3921,mkgdzhih-6,5
38,5,5652,15.863823221396908,yitrtdtp-5653,mkgdzhih-6,5
39,6,1552,5.872759447152767,gpoqbdmw-1553,woupptul-7,8
40,6,2262,12.909648813853646,iajzgvqh-2263,woupptul-7,8
41,6,2971,19.034307112871947,dghsasln-2972,woupptul-7,8
42,6,4199,2.6066885366140022,pqpmeujm-4200,woupptul-7,8
43,6,4405,13.211283143386717,wmbqcbqf-4406,woupptul-7,8
44,6,5463,19.79835977194177,njwohmzs-5464,woupptul-7,8
45,6,5744,12.334515348915055,pedvvlkw-5745,woupptul-7,8
46,6,6406,9.200809294319594,moagedhn-6407,woupptul-7,8
47,7,1201,11.308259655195531,jdqpqiig-1202,fhthoium-8,9
48,7,1934,10.458564190705232,ycfqgsku-1935,fhthoium-8,9
49,7,2137,12.547540723570163,twrxtwrs-2138,fhthoium-8,9
50,7,3138,18.591060381650436,vvfsotyr-3139,fhthoium-8,9
51,7,3180,18.500443435764456,cqwpeqna-3181,fhthoium-8,9
52,7,4000,14.067918915059366,zlxkwmuj-4001,fhthoium-8,9
53,7,5792,6.121327023471798,bhzcqacj-5793,fhthoium-8,9
54,7,6155,12.337548240731792,ipfppuwn-6156,fhthoium-8,9
55,7,6448,14.363397572242407,zdibdytq-6449,fhthoium-8,9
56,8,178,14.281189529175531,hkdpvqob-179,qilvrzpm-9,4
57,8,1794,16.114688550361222,xpekxsva-1795,qilvrzpm-9,4
58,8,2348,19.720233459190666,kycqfnin-2349,qilvrzpm-9,4
59,8,3940,10.672896476246418,wuaahytm-3941,qilvrzpm-9,4
60,9,487,11.583034546246008,fnvfblrv-488,vdrhsnql-10,8
61,9,628,19.913888276813505,qlelxibp-629,vdrhsnql-10,8
62,9,671,16.640473198740594,rdwhleae-672,vdrhsnql-10,8
63,9,1798,18.022076068150263,jhdttpvg-1799,vdrhsnql-10,8
64,9,2111,9.374944369097635,dqusgkzq-2112,vdrhsnql-10,8
65,9,2755,17.26233514969569,seqzujdv-2756,vdrhsnql-10,8
66,9,4473,12.868083725825608,ucglvsms-4474,vdrhsnql-10,8
67,9,5545,8.880209712997036,mvggqxbj-5546,vdrhsnql-10,8
68,10,1289,17.485694319407045,xqwceiid-1290,estgcxtu-11,4
69,10,1796,7.745302386805231,ljvdaoki-1797,estgcxtu-11,4
70,10,5035,17.310914430240604,skdxpnzy-5036,estgcxtu-11,4
71,10,5551,12.604003190794847,lujbuqeq-5552,estgcxtu-11,4
72,11,2508,6.035238253712574,zhnnxgkk-2509,rspgynba-12,3
73,11,2599,14.85139466777673,megpiyoj-2600,rspgynba-12,3
74,11,5125,11.989768838792953,vodzsict-5126,rspgynba-12,3
75,12,805,15.590067297304188,vpxyzfzl-806,mcsghdcm-13,7
76,12,2370,18.676790907098976,kniknoyd-2371,mcsghdcm-13,7
77,12,2379,11.126602805889808,qyotzqbp-2380,mcsghdcm-13,7
78,12,3745,16.18687168413986,cgdjvili-3746,mcsghdcm-13,7
79,12,4855,6.179184226277257,wtutjrnm-4856,mcsghdcm-13,7
80,12,5597,17.94928245983767,yuopnron-5598,mcsghdcm-13,7
81,12,5796,16.785361464258038,qnlejnsz-5797,mcsghdcm-13,7
82,13,280,17.054527022283935,jvtpphbc-281,xgoctiqz-14,8
83,13,2906,13.742402017875568,yirahujk-2907,xgoctiqz-14,8
84,13,4525,19.631637147475757,klfgqtut-4526,xgoctiqz-14,8
85,13,5047,16.448404053889966,uzhjbvwx-5048,xgoctiqz-14,8
86,13,5661,9.519803047113664,bnetlpvk-5662,xgoctiqz-14,8
87,13,5724,19.340988635155732,fudytwnf-5725,xgoctiqz-14,8
88,13,5865,15.9567779266864,cirhsasu-5866,xgoctiqz-14,8
89,13,5953,5.324414944335682,aomolbge-5954,xgoctiqz-14,8
90,14,1275,7.0740933100538,fucgqttb-1276,grfjyvxz-15,6
91,14,2646,5.376927713256096,kykesozx-2647,grfjyvxz-15,6
92,14,2701,14.900301568089207,agubvpgp-2702,grfjyvxz-15,6
93,14,4140,16.129931734697923,eiobfbtp-4141,grfjyvxz-15,6
94,14,4160,19.014931842091734,nwluvjkg-4161,grfjyvxz-15,6
95,14,4948,13.769635914780485,puhufzwe-4949,grfjyvxz-15,6
96,15,942,8.032154429216947,hcdnwpqy-943,fpqidpcj-16,6
97,15,1879,16.36938532642789,jbttrwfr-1880,fpqidpcj-16,6
98,15,2425,17.649981670599296,wouerybe-2426,fpqidpcj-16,6
99,15,5329,8.225337797058838,dgldtglh-5330,fpqidpcj-16,6
100,15,6175,15.561487929645285,itabhsug-6176,fpqidpcj-16,6
101,15,6232,17.503911105015376,uufvtxar-6233,fpqidpcj-16,6
102,16,1835,13.841217161298017,uvcqkegj-1836,iusypetw-17,6
103,16,1848,18.161074341750325,gloeywwm-1849,iusypetw-17,6
104,16,2539,16.050729710441935,hqoxrlag-2540,iusypetw-17,6
105,16,2885,17.503630069859128,tnqvfmmr-2886,iusypetw-17,6
106,16,3091,18.910281835106648,vykzrxjd-3092,iusypetw-17,6
107,16,5447,14.182801638595404,ejpvdkpi-5448,iusypetw-17,6
108,17,73,15.292769409344489,knbztmfj-74,corbveir-18,7
109,17,478,15.49980212958663,dwiamljm-479,corbveir-18,7
110,17,532,16.260935214064588,azhghrou-533,corbveir-18,7
111,17,2372,10.734936351714163,quxvbahm-2373,corbveir-18,7
112,17,2772,18.391955764043335,aggowiut-2773,corbveir-18,7
